Step,Value
410,-47.0
411,-58.3487434387207
412,-42.570526123046875
413,-53.84772491455078
414,-56.10558319091797
415,-46.0
416,-45.0
417,-40.70229721069336
418,-51.570526123046875
419,-43.83684158325195
420,-48.0
421,-42.83684158325195
422,-44.0
423,-29.481246948242188
424,-5.384210586547852
425,-16.570526123046875
426,-38.31808853149414
427,-47.0
428,-51.366477966308594
429,-54.98226547241211
430,-64.01630401611328
431,-41.272823333740234
432,-42.83684158325195
433,-40.48124694824219
434,-43.0
435,-40.570526123046875
436,-39.0
437,-48.0
438,-43.0
439,-48.05177307128906
440,-44.962493896484375
441,-35.22105407714844
442,-43.48124694824219
443,-44.48124694824219
444,-44.38420867919922
445,-42.954734802246094
446,-41.24420928955078
447,-58.98226547241211
448,-54.98226547241211
449,-43.05177307128906
450,-48.0
451,-44.0
452,-48.0
453,-49.12331771850586
454,-21.819108963012695
455,-45.0
456,-41.38420867919922
457,-57.98226547241211
458,-48.0
459,-49.0
460,-43.83684158325195
461,-62.82999038696289
462,-49.0
463,-39.888614654541016
464,-46.41824722290039
465,-43.62229919433594
466,-51.05177307128906
467,-43.38420867919922
468,-49.552791595458984
469,-44.0
470,-50.0
471,-44.0
472,-25.836841583251953
473,-45.711578369140625
474,-42.48124694824219
475,-21.628419876098633
476,-34.81910705566406
477,-31.94679832458496
478,-9.0
479,-36.83684158325195
480,-45.0
481,-47.0
482,-48.0
483,-47.05177307128906
484,-47.0
485,-43.954734802246094
486,-60.80137634277344
487,-67.78363800048828
488,-37.40736770629883
489,-46.0
490,-39.40736770629883
491,-50.4635124206543
492,-47.0
493,-39.7684211730957
494,-50.570526123046875
495,-44.83684158325195
496,-64.4457778930664
497,-48.62229919433594
498,-56.96453094482422
499,-35.0203857421875
500,-55.366477966308594
501,-40.31808853149414
502,-39.05177307128906
503,-46.4635124206543
504,-48.962493896484375
505,-41.570526123046875
506,-42.0
507,-41.0
508,-48.81910705566406
509,-45.0
510,-44.962493896484375
511,-41.05177307128906
512,-47.0
513,-48.570526123046875
514,-42.05177307128906
515,-42.38420867919922
516,-52.30035400390625
517,-52.4635124206543
518,-47.52526092529297
519,-50.552791595458984
520,-41.31808853149414
521,-40.865455627441406
522,-48.0401611328125
523,-45.0
524,-46.22647476196289
525,-45.81910705566406
526,-37.48124694824219
527,-41.0
528,-41.10354232788086
529,-45.98226547241211
530,-33.587528228759766
531,-31.481246948242188
532,-54.552791595458984
533,-45.0
534,-31.768421173095703
535,-41.0
536,-34.154930114746094
537,-40.48124694824219
538,-42.79933547973633
539,-49.81910705566406
540,-47.48124694824219
