Step,Value
1083,1.0
1084,0.0
1085,0.0
1086,1.0
1087,2.0
1088,0.0
1089,0.0
1090,3.0
1091,0.0
1092,1.0
1093,0.0
1094,1.0
1095,1.0
1096,1.0
1097,1.0
1098,0.0
1099,1.0
1100,1.0
1101,1.0
1102,0.0
1103,0.0
1104,3.0
1105,0.0
1106,0.0
1107,0.0
1108,0.0
1109,1.0
1110,1.0
1111,1.0
1112,1.0
1113,0.0
1114,1.0
1115,2.0
1116,1.0
1117,1.0
1118,1.0
1119,0.0
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,1.0
1126,1.0
1127,0.0
1128,0.0
1129,0.0
1130,1.0
1131,1.0
1132,0.0
1133,1.0
1134,1.0
1135,0.0
1136,0.0
1137,0.0
1138,2.0
1139,0.0
1140,0.0
1141,0.0
1142,0.0
1143,0.0
1144,2.0
1145,2.0
1146,2.0
1147,1.0
1148,0.0
1149,1.0
1150,1.0
1151,2.0
1152,0.0
1153,1.0
1154,0.0
1155,2.0
1156,2.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,1.0
1162,0.0
1163,2.0
1164,0.0
1165,3.0
1166,1.0
1167,3.0
1168,1.0
1169,2.0
1170,0.0
1171,1.0
1172,0.0
1173,1.0
1174,0.0
1175,3.0
1176,2.0
1177,2.0
1178,3.0
1179,0.0
1180,1.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,1.0
1187,0.0
1188,1.0
1189,2.0
1190,1.0
1191,2.0
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,2.0
1197,0.0
1198,0.0
1199,1.0
1200,1.0
1201,0.0
1202,0.0
1203,1.0
1204,0.0
1205,2.0
1206,0.0
1207,0.0
1208,1.0
1209,1.0
1210,0.0
1211,0.0
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,2.0
1217,1.0
1218,0.0
1219,1.0
1220,0.0
1221,0.0
1222,0.0
1223,1.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,1.0
1229,3.0
1230,1.0
1231,1.0
1232,1.0
1233,0.0
1234,1.0
1235,1.0
1236,1.0
1237,1.0
1238,0.0
1239,2.0
1240,0.0
1241,1.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,2.0
1248,0.0
1249,1.0
1250,2.0
1251,1.0
1252,0.0
1253,0.0
1254,0.0
1255,0.0
1256,1.0
1257,1.0
1258,1.0
1259,1.0
1260,0.0
1261,0.0
1262,0.0
1263,1.0
1264,0.0
1265,1.0
1266,0.0
1267,0.0
1268,0.0
1269,3.0
1270,4.0
1271,0.0
1272,0.0
1273,0.0
1274,4.0
1275,2.0
1276,2.0
1277,4.0
1278,1.0
1279,1.0
1280,1.0
1281,0.0
1282,1.0
1283,0.0
1284,0.0
1285,0.0
1286,2.0
1287,1.0
1288,1.0
1289,1.0
1290,1.0
1291,2.0
1292,1.0
