Step,Value
974,2.0
975,1.0
976,1.0
977,0.0
978,1.0
979,0.0
980,0.0
981,2.0
982,0.0
983,2.0
984,1.0
985,0.0
986,0.0
987,0.0
988,2.0
989,1.0
990,1.0
991,0.0
992,0.0
993,0.0
994,0.0
995,2.0
996,0.0
997,3.0
998,0.0
999,1.0
1000,2.0
1001,1.0
1002,1.0
1003,0.0
1004,1.0
1005,0.0
1006,0.0
1007,1.0
1008,1.0
1009,0.0
1010,1.0
1011,1.0
1012,1.0
1013,1.0
1014,0.0
1015,0.0
1016,0.0
1017,1.0
1018,0.0
1019,2.0
1020,0.0
1021,1.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,1.0
1027,1.0
1028,1.0
1029,0.0
1030,0.0
1031,3.0
1032,0.0
1033,0.0
1034,1.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,1.0
1042,0.0
1043,0.0
1044,0.0
1045,1.0
1046,0.0
1047,0.0
1048,0.0
1049,1.0
1050,1.0
1051,3.0
1052,2.0
1053,3.0
1054,3.0
1055,3.0
1056,2.0
1057,3.0
1058,1.0
1059,0.0
1060,1.0
1061,3.0
1062,1.0
1063,2.0
1064,2.0
1065,0.0
1066,1.0
1067,1.0
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,1.0
1074,1.0
1075,2.0
1076,0.0
1077,1.0
1078,1.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,1.0
1085,0.0
1086,0.0
1087,1.0
1088,0.0
1089,3.0
1090,0.0
1091,0.0
1092,0.0
1093,1.0
1094,2.0
1095,0.0
1096,1.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
1101,0.0
1102,1.0
1103,3.0
1104,2.0
1105,1.0
1106,0.0
1107,0.0
1108,1.0
1109,0.0
1110,0.0
1111,0.0
1112,1.0
1113,0.0
1114,1.0
1115,0.0
1116,0.0
1117,1.0
1118,0.0
1119,0.0
1120,1.0
1121,0.0
1122,1.0
1123,0.0
1124,0.0
1125,0.0
1126,1.0
1127,0.0
1128,0.0
1129,0.0
1130,0.0
1131,0.0
1132,1.0
1133,1.0
1134,0.0
1135,0.0
1136,1.0
1137,1.0
1138,0.0
1139,0.0
1140,0.0
1141,1.0
1142,0.0
1143,0.0
1144,3.0
1145,0.0
1146,0.0
1147,0.0
1148,1.0
1149,1.0
1150,3.0
1151,3.0
1152,1.0
1153,1.0
1154,1.0
1155,1.0
1156,1.0
1157,0.0
1158,1.0
1159,0.0
1160,1.0
1161,0.0
1162,1.0
1163,3.0
1164,0.0
1165,3.0
1166,2.0
1167,1.0
1168,1.0
1169,0.0
1170,0.0
1171,1.0
1172,1.0
1173,2.0
1174,2.0
1175,2.0
1176,0.0
1177,0.0
1178,3.0
1179,1.0
1180,0.0
1181,0.0
1182,2.0
1183,0.0
1184,0.0
1185,0.0
1186,1.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,1.0
1192,0.0
1193,1.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,1.0
1199,0.0
1200,1.0
1201,1.0
1202,0.0
1203,0.0
1204,0.0
1205,1.0
1206,0.0
1207,1.0
1208,1.0
1209,0.0
1210,1.0
1211,2.0
1212,0.0
1213,0.0
1214,0.0
1215,0.0
1216,2.0
1217,2.0
1218,1.0
1219,2.0
1220,2.0
1221,0.0
1222,1.0
1223,1.0
1224,1.0
1225,0.0
1226,0.0
1227,2.0
1228,0.0
1229,0.0
1230,2.0
1231,0.0
1232,2.0
1233,1.0
1234,1.0
1235,3.0
1236,0.0
1237,0.0
1238,1.0
1239,1.0
1240,1.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,1.0
1246,0.0
1247,2.0
1248,1.0
1249,0.0
1250,0.0
1251,0.0
1252,1.0
1253,0.0
1254,0.0
1255,1.0
1256,1.0
1257,1.0
1258,2.0
1259,0.0
1260,1.0
1261,0.0
1262,1.0
1263,3.0
1264,0.0
1265,0.0
1266,1.0
1267,2.0
1268,2.0
1269,2.0
