================================================================================
PPO_LSTM TRAINING RESULTS - 40000 EPOCHS
================================================================================
Generated: 2026-01-20 17:32:38
Model Type: ppo_lstm
Epochs: 40000
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      Reward      
367      17.917695       25.00       
368      107.215206      53.00       
369      34.008304       37.00       
370      39.282486       -4.00       
371      19.956458       37.00       
372      46.095225       33.00       
373      32.204461       15.00       
374      26.907762       31.00       
375      34.277171       8.00        
376      12.452239       37.00       
377      86.397518       45.00       
378      16.164093       18.00       
379      52.421177       19.00       
380      27.366110       48.00       
381      30.878537       -1.00       
382      21.835551       10.00       
383      26.702937       17.00       
384      19.961259       7.00        
385      34.147260       43.00       
386      29.841721       54.00       
387      44.171920       48.00       
388      23.581289       18.00       
389      54.434055       30.00       
390      29.302572       22.00       
391      33.129285       40.00       
392      21.894928       21.00       
393      26.897117       10.00       
394      43.044440       55.00       
395      12.563015       10.00       
396      70.589540       55.00       
397      26.014942       13.00       
398      18.204727       15.00       
399      91.863667       46.00       
400      29.007535       32.00       
401      176.609787      83.00       
402      21.478175       28.00       
403      22.806186       6.00        
404      32.406966       -9.00       
405      13.436185       21.00       
406      25.957678       9.00        
407      40.178064       50.00       
408      28.861264       8.00        
409      20.893377       18.00       
410      27.890346       36.00       
411      22.688720       17.00       
412      54.362773       11.00       
413      4.885140        12.00       
414      30.651018       49.00       
415      51.463712       46.00       
416      13.749261       4.00        
417      27.476858       5.00        
418      15.552529       2.00        
419      15.627917       0.00        
420      24.103778       16.00       
421      38.639577       28.00       
422      17.164084       35.00       
423      98.837658       55.00       
424      31.216957       -4.00       
425      44.673714       35.00       
426      18.911292       17.00       
427      102.879185      56.00       
428      6.163643        27.00       
429      49.802493       45.00       
430      65.137074       57.00       
431      18.965452       39.00       
432      7.321048        21.00       
433      4.987756        26.00       
434      34.059627       45.00       
435      33.289664       21.00       
436      34.886468       12.00       
437      50.613104       47.00       
438      29.920363       -1.00       
439      12.390162       22.00       
440      6.536025        9.00        
441      12.411815       13.00       
442      17.758979       17.00       
443      18.292378       28.00       
444      33.384208       49.00       
445      55.130601       55.00       
446      21.902799       2.00        
447      71.871733       57.00       
448      18.689166       29.00       
449      43.037765       -6.00       
