================================================================================
CPC TRAINING RESULTS - 500 EPOCHS, CPC START AT EPOCH 10
================================================================================
Generated: 2026-01-20 14:52:23
Epochs: 500
CPC Start Epoch: 10
CPC Memory Bank Size: 4
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      CPC Loss        Reward       Mem Bank  
292      77.030561       10.803281       556.00       4/4       
293      139.120216      10.162395       -292.00      4/4       
294      43.199789       10.392100       797.00       4/4       
295      142.874725      9.007103        -31.00       4/4       
296      173.011494      16.703003       2088.00      4/4       
297      46.366196       19.177795       583.00       4/4       
298      46.323972       23.212152       107.00       4/4       
299      112.617523      23.707884       2077.00      4/4       
300      326.426483      23.813898       3412.00      4/4       
301      79.881546       22.556128       1720.00      4/4       
302      205.392025      19.882280       3396.00      4/4       
303      95.975290       16.884169       407.00       4/4       
304      33.126379       15.017528       372.00       4/4       
305      84.695488       15.134048       816.00       4/4       
306      114.738581      12.427879       759.00       4/4       
307      192.426914      11.545857       2291.00      4/4       
308      122.959450      13.877988       1117.00      4/4       
309      166.295303      12.904233       1701.00      4/4       
310      124.821516      11.484439       545.00       4/4       
311      73.303526       9.939440        2039.00      4/4       
312      138.281090      9.526258        381.00       4/4       
313      162.784863      8.860900        344.00       4/4       
314      260.862930      11.769595       -88.00       4/4       
315      221.761868      13.520263       1811.00      4/4       
316      112.837948      14.860779       376.00       4/4       
317      135.174477      15.224601       -781.00      4/4       
318      215.454746      13.288908       -1412.00     4/4       
319      225.958950      10.115378       -675.00      4/4       
320      178.696842      9.337878        -602.00      4/4       
321      232.595058      8.648046        -901.00      4/4       
322      144.994972      9.714151        228.00       4/4       
323      185.625084      10.899384       518.00       4/4       
324      252.238140      10.262508       -1252.00     4/4       
325      174.784576      12.243039       -267.00      4/4       
326      132.355547      14.605379       -1015.00     4/4       
327      204.871128      14.092647       -44.00       4/4       
328      249.788612      11.332317       -1507.00     4/4       
329      255.187191      19.776730       -1335.00     4/4       
330      200.853802      19.905121       -76.00       4/4       
331      256.931923      15.263736       -1602.00     4/4       
332      155.271236      11.770404       -214.00      4/4       
333      190.990448      12.271219       -542.00      4/4       
334      199.248627      11.427474       -623.00      4/4       
335      192.011280      11.365909       408.00       4/4       
336      218.424759      10.712625       -116.00      4/4       
337      100.313076      13.897913       858.00       4/4       
338      184.081936      12.071392       -1531.00     4/4       
339      153.235359      11.969814       480.00       4/4       
340      144.242027      12.470444       -1210.00     4/4       
341      123.654709      14.871758       -776.00      4/4       
342      176.339096      14.098923       566.00       4/4       
343      123.243137      17.900270       -385.00      4/4       
344      176.285465      18.578461       -1419.00     4/4       
345      176.224579      18.726044       237.00       4/4       
346      146.145317      18.650644       -125.00      4/4       
347      101.767500      19.871004       -802.00      4/4       
348      201.177284      18.686855       -1615.00     4/4       
349      201.537807      19.933596       -1452.00     4/4       
350      166.749321      19.723238       -1330.00     4/4       
351      150.244755      25.058025       -916.00      4/4       
352      171.062145      20.471716       -857.00      4/4       
353      155.085701      15.870037       93.00        4/4       
354      139.015186      12.602428       -27.00       4/4       
355      139.555855      12.413849       64.00        4/4       
356      141.082428      21.967651       -680.00      4/4       
357      144.236389      20.012886       349.00       4/4       
358      126.417839      18.744509       -950.00      4/4       
359      109.984755      17.032215       853.00       4/4       
360      124.856070      14.711782       448.00       4/4       
361      115.271656      12.038194       23.00        4/4       
362      87.155380       10.616674       -74.00       4/4       
363      104.353119      9.805782        -864.00      4/4       
364      72.766504       9.044745        96.00        4/4       
365      101.172434      9.733974        -476.00      4/4       
366      60.915261       12.709496       1533.00      4/4       
367      64.890344       12.437906       -424.00      4/4       
368      117.235979      13.463473       -993.00      4/4       
369      53.161371       14.645576       190.00       4/4       
