================================================================================
CPC TRAINING RESULTS - 1000 EPOCHS
================================================================================
Generated: 2026-01-20 16:33:31
Model Type: ppo_lstm_cpc
Epochs: 1000
CPC Start Epoch: 10
CPC Memory Bank Size: 1000
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      CPC Loss        Reward       Mem Bank  
207      0.000000        0.000000        45.00        0/1000    
208      0.000000        0.000000        72.00        0/1000    
209      0.000000        0.000000        76.00        0/1000    
210      0.000000        0.000000        37.00        0/1000    
211      0.000000        0.000000        126.00       0/1000    
212      0.000000        0.000000        72.00        0/1000    
213      0.000000        0.000000        88.00        0/1000    
214      0.000000        0.000000        45.00        0/1000    
215      0.000000        0.000000        79.00        0/1000    
216      0.000000        0.000000        67.00        0/1000    
217      0.000000        0.000000        27.00        0/1000    
218      0.000000        0.000000        23.00        0/1000    
219      0.000000        0.000000        42.00        0/1000    
220      0.000000        0.000000        36.00        0/1000    
221      0.000000        0.000000        38.00        0/1000    
222      0.000000        0.000000        88.00        0/1000    
223      0.000000        0.000000        22.00        0/1000    
224      0.000000        0.000000        74.00        0/1000    
225      0.000000        0.000000        33.00        0/1000    
226      0.000000        0.000000        76.00        0/1000    
227      0.000000        0.000000        56.00        0/1000    
228      0.000000        0.000000        65.00        0/1000    
229      0.000000        0.000000        2.00         0/1000    
230      0.000000        0.000000        148.00       0/1000    
231      0.000000        0.000000        46.00        0/1000    
232      0.000000        0.000000        39.00        0/1000    
233      0.000000        0.000000        19.00        0/1000    
234      0.000000        0.000000        67.00        0/1000    
235      0.000000        0.000000        37.00        0/1000    
236      0.000000        0.000000        65.00        0/1000    
237      0.000000        0.000000        67.00        0/1000    
238      0.000000        0.000000        35.00        0/1000    
239      0.000000        0.000000        54.00        0/1000    
240      0.000000        0.000000        90.00        0/1000    
241      0.000000        0.000000        23.00        0/1000    
242      0.000000        0.000000        20.00        0/1000    
243      0.000000        0.000000        59.00        0/1000    
244      0.000000        0.000000        83.00        0/1000    
245      0.000000        0.000000        46.00        0/1000    
246      0.000000        0.000000        16.00        0/1000    
247      0.000000        0.000000        65.00        0/1000    
248      0.000000        0.000000        56.00        0/1000    
249      0.000000        0.000000        79.00        0/1000    
250      0.000000        0.000000        109.00       0/1000    
251      0.000000        0.000000        8.00         0/1000    
252      0.000000        0.000000        20.00        0/1000    
253      0.000000        0.000000        32.00        0/1000    
254      0.000000        0.000000        17.00        0/1000    
255      0.000000        0.000000        86.00        0/1000    
256      0.000000        0.000000        11.00        0/1000    
257      0.000000        0.000000        61.00        0/1000    
258      0.000000        0.000000        124.00       0/1000    
259      0.000000        0.000000        75.00        0/1000    
260      0.000000        0.000000        65.00        0/1000    
261      0.000000        0.000000        50.00        0/1000    
262      0.000000        0.000000        53.00        0/1000    
263      0.000000        0.000000        76.00        0/1000    
264      0.000000        0.000000        97.00        0/1000    
265      0.000000        0.000000        68.00        0/1000    
266      0.000000        0.000000        24.00        0/1000    
267      0.000000        0.000000        45.00        0/1000    
268      0.000000        0.000000        27.00        0/1000    
269      0.000000        0.000000        37.00        0/1000    
270      0.000000        0.000000        57.00        0/1000    
271      0.000000        0.000000        82.00        0/1000    
272      0.000000        0.000000        103.00       0/1000    
273      0.000000        0.000000        63.00        0/1000    
274      0.000000        0.000000        42.00        0/1000    
